species.names,col_name,classification,domain,kingdom,phylum,class,subclass,infraclass,subterclass,superorder,order,superfamily,family,subfamily,genus,family_lower,longevity.yrs,notes
Haminoea succinea,Haminoea succinea,,Eukaryota,Animalia,Mollusca,Gastropoda,Heterobranchia,Euthyneura,Tectipleura,NA,NA,Haminoeoidea,Haminoeidae,NA,Haminoea,Haminoeidae,1.583333,
Austroselenites alticola,Austroselenites alticola,,Eukaryota,Animalia,Mollusca,Gastropoda,Heterobranchia,Euthyneura,Tectipleura,Eupulmonata,NA,Haplotrematoidea,Haplotrematidae,NA,Zophos,Haplotrematidae,,not found
Alcadia alta,Alcadia alta,,Eukaryota,Animalia,Mollusca,Gastropoda,Neritimorpha,NA,NA,NA,Cycloneritida,Helicinoidea,Helicinidae,Helicininae,Alcadia,Helicinidae,,not found
Helicina striata,Helicina striata,,Eukaryota,Animalia,Mollusca,Gastropoda,Neritimorpha,NA,NA,NA,Cycloneritida,Helicinoidea,Helicinidae,Helicininae,Helicina,Helicinidae,,not found
Hiatella arctica,Hiatella arctica,,Eukaryota,Animalia,Mollusca,Bivalvia,Autobranchia,Heteroconchia,Euheterodonta,Imparidentia,Adapedonta,Hiatelloidea,Hiatellidae,NA,Hiatella,Hiatellidae,38.5,
Hydrobia spp.,Hydrobia,,Eukaryota,Animalia,Mollusca,Gastropoda,Caenogastropoda,NA,NA,NA,Littorinimorpha,Truncatelloidea,Hydrobiidae,Hydrobiinae,NA,Hydrobiidae,1.25,
Probythinella protera,Probythinella protera,,Eukaryota,Animalia,Mollusca,Gastropoda,Caenogastropoda,NA,NA,NA,Littorinimorpha,Truncatelloidea,Hydrobiidae,NA,Probythinella,Hydrobiidae,1.25,
Antiopella cristata,Antiopella cristata,,Eukaryota,Animalia,Mollusca,Gastropoda,Heterobranchia,Euthyneura,Ringipleura,Nudipleura,Nudibranchia,Proctonotoidea,Janolidae,NA,Antiopella,Janolidae,,not found
Laona quadrata,Laona quadrata,,Eukaryota,Animalia,Mollusca,Gastropoda,Heterobranchia,Euthyneura,Tectipleura,NA,NA,Philinoidea,Laonidae,NA,Laona,Laonidae,,not found
Lasaea adansoni,Lasaea adansoni,,Eukaryota,Animalia,Mollusca,Bivalvia,Autobranchia,Heteroconchia,Euheterodonta,Imparidentia,Venerida,NA,Lasaeidae,NA,Lasaea,Lasaeidae,4,
Leptochiton asellus,Leptochiton asellus,,Eukaryota,Animalia,Mollusca,Polyplacophora,Neoloricata,NA,NA,NA,Lepidopleurida,NA,Leptochitonidae,NA,Leptochiton,Leptochitonidae,,
Leptochiton cancellatus,Leptochiton cancellatus,,Eukaryota,Animalia,Mollusca,Polyplacophora,Neoloricata,NA,NA,NA,Lepidopleurida,NA,Leptochitonidae,NA,Leptochiton,Leptochitonidae,,
Limacina helicina,Limacina helicina,,Eukaryota,Animalia,Mollusca,Gastropoda,Heterobranchia,Euthyneura,Tectipleura,NA,Pteropoda,Limacinoidea,Limacinidae,NA,Limacina,Limacinidae,2,
Limaria pellucida,Limaria pellucida,,Eukaryota,Animalia,Mollusca,Bivalvia,Autobranchia,Pteriomorphia,NA,NA,Limida,Limoidea,Limidae,NA,Limaria,Limidae,10,
Lacuna pallidula,Lacuna pallidula,,Eukaryota,Animalia,Mollusca,Gastropoda,Caenogastropoda,NA,NA,NA,Littorinimorpha,Littorinoidea,Littorinidae,Lacuninae,Lacuna,Littorinidae,1.166667,
Lacuna parva,Lacuna parva,,Eukaryota,Animalia,Mollusca,Gastropoda,Caenogastropoda,NA,NA,NA,Littorinimorpha,Littorinoidea,Littorinidae,Lacuninae,Lacuna,Littorinidae,1.166667,
Littorina fabalis,Littorina fabalis,,Eukaryota,Animalia,Mollusca,Gastropoda,Caenogastropoda,NA,NA,NA,Littorinimorpha,Littorinoidea,Littorinidae,Littorininae,Littorina,Littorinidae,2.083333,
Littorina saxatilis,Littorina saxatilis,,Eukaryota,Animalia,Mollusca,Gastropoda,Caenogastropoda,NA,NA,NA,Littorinimorpha,Littorinoidea,Littorinidae,Littorininae,Littorina,Littorinidae,2.083333,
Melarhaphe neritoides,Melarhaphe neritoides,,Eukaryota,Animalia,Mollusca,Gastropoda,Caenogastropoda,NA,NA,NA,Littorinimorpha,Littorinoidea,Littorinidae,Littorininae,Melarhaphe,Littorinidae,3.416667,
Doryteuthis opalescens,Doryteuthis opalescens,,Eukaryota,Animalia,Mollusca,Cephalopoda,Coleoidea,NA,NA,Decapodiformes,Myopsida,NA,Loliginidae,NA,Doryteuthis,Loliginidae,,
Doryteuthis pealeii,Doryteuthis pealeii,,Eukaryota,Animalia,Mollusca,Cephalopoda,Coleoidea,NA,NA,Decapodiformes,Myopsida,NA,Loliginidae,NA,Doryteuthis,Loliginidae,,
Sepioteuthis australis,Sepioteuthis australis,,Eukaryota,Animalia,Mollusca,Cephalopoda,Coleoidea,NA,NA,Decapodiformes,Myopsida,NA,Loliginidae,NA,Sepioteuthis,Loliginidae,,
Tectura virginea,Tectura virginea,,Eukaryota,Animalia,Mollusca,Gastropoda,Patellogastropoda,NA,NA,NA,Nacellida,Lottioidea,Lottiidae,Tecturinae,Tectura,Lottiidae,8.5,
Testudinalia testudinalis,Testudinalia testudinalis,,Eukaryota,Animalia,Mollusca,Gastropoda,Patellogastropoda,NA,NA,NA,Nacellida,Lottioidea,Lottiidae,NA,Testudinalia,Lottiidae,7,
Lucina radians,Lucina radians,,Eukaryota,Animalia,Mollusca,Bivalvia,Autobranchia,Heteroconchia,Euheterodonta,Imparidentia,Lucinida,Lucinoidea,Lucinidae,Leucosphaerinae,Callucina,Lucinidae,2.08,
Myrtea spinifera,Myrtea spinifera,,Eukaryota,Animalia,Mollusca,Bivalvia,Autobranchia,Heteroconchia,Euheterodonta,Imparidentia,Lucinida,Lucinoidea,Lucinidae,Myrteinae,Myrtea,Lucinidae,2.08,
Parvilucina crenella,Parvilucina crenella,,Eukaryota,Animalia,Mollusca,Bivalvia,Autobranchia,Heteroconchia,Euheterodonta,Imparidentia,Lucinida,Lucinoidea,Lucinidae,Lucininae,Parvilucina,Lucinidae,2.08,
Radiolucina amianta,Radiolucina amianta,,Eukaryota,Animalia,Mollusca,Bivalvia,Autobranchia,Heteroconchia,Euheterodonta,Imparidentia,Lucinida,Lucinoidea,Lucinidae,Lucininae,Radiolucina,Lucinidae,2.08,
Lymnaea stagnalis,Lymnaea stagnalis,,Eukaryota,Animalia,Mollusca,Gastropoda,Heterobranchia,Euthyneura,Tectipleura,Hygrophila,NA,NA,Lymnaeidae,NA,Lymnaea,Lymnaea,1.843836,
Hinkleyia caperata,Hinkleyia caperata,,Eukaryota,Animalia,Mollusca,Gastropoda,Heterobranchia,Euthyneura,Tectipleura,Hygrophila,NA,NA,Lymnaeidae,NA,Hinkleyia,Lymnaeidae,1.152668,
Ladislavella elodes,Ladislavella elodes,,Eukaryota,Animalia,Mollusca,Gastropoda,Heterobranchia,Euthyneura,Tectipleura,Hygrophila,NA,NA,Lymnaeidae,NA,Ladislavella,Lymnaeidae,1.152668,
Pseudosuccinea columella,Pseudosuccinea columella,,Eukaryota,Animalia,Mollusca,Gastropoda,Heterobranchia,Euthyneura,Tectipleura,Hygrophila,NA,NA,Lymnaeidae,NA,Pseudosuccinea,Lymnaeidae,0.4615,
Lyonsia hyalina,Lyonsia hyalina,,Eukaryota,Animalia,Mollusca,Bivalvia,Autobranchia,Heteroconchia,Euheterodonta,Anomalodesmata,NA,Pandoroidea,Lyonsiidae,NA,Lyonsia,Lyonsiidae,8.5,
Mulinia lateralis,Mulinia lateralis,,Eukaryota,Animalia,Mollusca,Bivalvia,Autobranchia,Heteroconchia,Euheterodonta,Imparidentia,Venerida,Mactroidea,Mactridae,Mactrinae,Mulinia,Mactridae,37.666667,
Rangia cuneata,Rangia cuneata,,Eukaryota,Animalia,Mollusca,Bivalvia,Autobranchia,Heteroconchia,Euheterodonta,Imparidentia,Venerida,Mactroidea,Mactridae,Mactrinae,Rangia,Mactridae,37.666667,
Spisula solidissima,Spisula solidissima,,Eukaryota,Animalia,Mollusca,Bivalvia,Autobranchia,Heteroconchia,Euheterodonta,Imparidentia,Venerida,Mactroidea,Mactridae,Mactrinae,Spisula,Mactridae,37,
Kurtziella cerina,Kurtziella cerina,,Eukaryota,Animalia,Mollusca,Gastropoda,Caenogastropoda,NA,NA,NA,Neogastropoda,Conoidea,Mangeliidae,NA,Kurtziella,Mangeliidae,,not found
Margarites helicinus,Margarites helicinus,,Eukaryota,Animalia,Mollusca,Gastropoda,Vetigastropoda,NA,NA,NA,Trochida,Trochoidea,Margaritesidae,NA,Margarites,Margaritesidae,4,
Dentimargo aureocincta,Dentimargo aureocincta,,Eukaryota,Animalia,Mollusca,Gastropoda,Caenogastropoda,NA,NA,NA,Neogastropoda,Volutoidea,Marginellidae,Marginellinae,Dentimargo,Marginellidae,,not found
Prunum apicinum,Prunum apicinum,,Eukaryota,Animalia,Mollusca,Gastropoda,Caenogastropoda,NA,NA,NA,Neogastropoda,Volutoidea,Marginellidae,Pruninae,Prunum,Marginellidae,,not found
Neopupina crocea,Neopupina crocea,,Eukaryota,Animalia,Mollusca,Gastropoda,Caenogastropoda,NA,NA,NA,Architaenioglossa,Cyclophoroidea,Megalomastomatidae,NA,Neopupina,Megalomastomatidae,,not found
Pleuromeris tridentata,Pleuromeris tridentata,,Eukaryota,Animalia,Mollusca,Bivalvia,Autobranchia,Heteroconchia,Archiheterodonta,NA,NA,NA,NA,Miodomeridinae,Pleuromeris,Miodomeridinae,,not found
Pteromeris perplana,Pteromeris perplana,,Eukaryota,Animalia,Mollusca,Bivalvia,Autobranchia,Heteroconchia,Archiheterodonta,NA,NA,NA,NA,Miodomeridinae,Pteromeris,Miodomeridinae,,not found
Atrimitra idae,Atrimitra idae,,Eukaryota,Animalia,Mollusca,Gastropoda,Caenogastropoda,NA,NA,NA,Neogastropoda,Mitroidea,Mitridae,NA,Atrimitra,Mitridae,6,
Bathymodiolus septemdierum,Bathymodiolus septemdierum,,Eukaryota,Animalia,Mollusca,Bivalvia,Autobranchia,Pteriomorphia,NA,NA,Mytilida,Mytiloidea,Modiolidae,Bathymodiolinae,Bathymodiolus,Modiolidae,100,
Gigantidas platifrons,Gigantidas platifrons,,Eukaryota,Animalia,Mollusca,Bivalvia,Autobranchia,Pteriomorphia,NA,NA,Mytilida,Mytiloidea,Modiolidae,Bathymodiolinae,Gigantidas,Modiolidae,100,
Lioberus castanea,Lioberus castanea,,Eukaryota,Animalia,Mollusca,Bivalvia,Autobranchia,Pteriomorphia,NA,NA,Mytilida,Mytiloidea,Modiolidae,Limnoperninae,Lioberus,Modiolidae,14.52773,
Modiolus modiolus,Modiolus modiolus,,Eukaryota,Animalia,Mollusca,Bivalvia,Autobranchia,Pteriomorphia,NA,NA,Mytilida,Mytiloidea,Modiolidae,Modiolinae,Modiolus,Modiolidae,48,
Devonia perrieri,Devonia perrieri,,Eukaryota,Animalia,Mollusca,Bivalvia,Autobranchia,Heteroconchia,Euheterodonta,Imparidentia,NA,NA,NA,Montacutinae,Devonia,Montacutinae,5.5,
Kelliopsis elevata,Kelliopsis elevata,,Eukaryota,Animalia,Mollusca,Bivalvia,Autobranchia,Heteroconchia,Euheterodonta,Imparidentia,NA,NA,NA,Montacutinae,Kelliopsis,Montacutinae,5.5,
Kelliopsis texasiana,Kelliopsis texasiana,,Eukaryota,Animalia,Mollusca,Bivalvia,Autobranchia,Heteroconchia,Euheterodonta,Imparidentia,NA,NA,NA,Montacutinae,Kelliopsis,Montacutinae,5.5,
Kurtiella bidentata,Kurtiella bidentata,,Eukaryota,Animalia,Mollusca,Bivalvia,Autobranchia,Heteroconchia,Euheterodonta,Imparidentia,NA,NA,NA,Montacutinae,Kurtiella,Montacutinae,7,
Kurtiella planulata,Kurtiella planulata,,Eukaryota,Animalia,Mollusca,Bivalvia,Autobranchia,Heteroconchia,Euheterodonta,Imparidentia,NA,NA,NA,Montacutinae,Kurtiella,Montacutinae,4,
Agnewia tritoniformis,Agnewia tritoniformis,,Eukaryota,Animalia,Mollusca,Gastropoda,Caenogastropoda,NA,NA,NA,Neogastropoda,Muricoidea,Muricidae,Rapaninae,Agnewia,Muricidae,10,
Cronia aurantiaca,Cronia aurantiaca,,Eukaryota,Animalia,Mollusca,Gastropoda,Caenogastropoda,NA,NA,NA,Neogastropoda,Muricoidea,Muricidae,Ergalataxinae,Cronia,Muricidae,10,
Dicathais orbita,Dicathais orbita,,Eukaryota,Animalia,Mollusca,Gastropoda,Caenogastropoda,NA,NA,NA,Neogastropoda,Muricoidea,Muricidae,Rapaninae,Dicathais,Muricidae,19,
Eupleura caudata,Eupleura caudata,,Eukaryota,Animalia,Mollusca,Gastropoda,Caenogastropoda,NA,NA,NA,Neogastropoda,Muricoidea,Muricidae,Ocenebrinae,Eupleura,Muricidae,10,
Nucella lapillus,Nucella lapillus,,Eukaryota,Animalia,Mollusca,Gastropoda,Caenogastropoda,NA,NA,NA,Neogastropoda,Muricoidea,Muricidae,Ocenebrinae,Nucella,Muricidae,6,
Pteropurpura trialata,Pteropurpura trialata,,Eukaryota,Animalia,Mollusca,Gastropoda,Caenogastropoda,NA,NA,NA,Neogastropoda,Muricoidea,Muricidae,Ocenebrinae,Pteropurpura,Muricidae,10,
Urosalpinx cinerea,Urosalpinx cinerea,,Eukaryota,Animalia,Mollusca,Gastropoda,Caenogastropoda,NA,NA,NA,Neogastropoda,Muricoidea,Muricidae,Ocenebrinae,Urosalpinx,Muricidae,5,
Mya arenaria,Mya arenaria,,Eukaryota,Animalia,Mollusca,Bivalvia,Autobranchia,Heteroconchia,Euheterodonta,Imparidentia,NA,NA,Myidae,Myinae,Mya,Myidae,28,
Mya truncata,Mya truncata,,Eukaryota,Animalia,Mollusca,Bivalvia,Autobranchia,Heteroconchia,Euheterodonta,Imparidentia,NA,NA,Myidae,Myinae,Mya,Myidae,50,
Sphenia binghami,Sphenia binghami,,Eukaryota,Animalia,Mollusca,Bivalvia,Autobranchia,Heteroconchia,Euheterodonta,Imparidentia,NA,NA,Myidae,Cryptomyinae,Sphenia,Myidae,3,
Sphenia fragilis,Sphenia fragilis,,Eukaryota,Animalia,Mollusca,Bivalvia,Autobranchia,Heteroconchia,Euheterodonta,Imparidentia,NA,NA,Myidae,Cryptomyinae,Sphenia,Myidae,3,
Phyllodesmium serratum,Phyllodesmium serratum,,Eukaryota,Animalia,Mollusca,Gastropoda,Heterobranchia,Euthyneura,Ringipleura,Nudipleura,Nudibranchia,Aeolidioidea,Myrrhinidae,NA,Phyllodesmium,Myrrhinidae,0.906849,
Arcuatula papyria,Arcuatula papyria,,Eukaryota,Animalia,Mollusca,Bivalvia,Autobranchia,Pteriomorphia,NA,NA,Mytilida,Mytiloidea,Mytilidae,Crenellinae,Arcuatula,Mytilidae,16,
Brachidontes exustus,Brachidontes exustus,,Eukaryota,Animalia,Mollusca,Bivalvia,Autobranchia,Pteriomorphia,NA,NA,Mytilida,Mytiloidea,Mytilidae,Brachidontinae,Brachidontes,Mytilidae,16,
Crenella decussata,Crenella decussata,,Eukaryota,Animalia,Mollusca,Bivalvia,Autobranchia,Pteriomorphia,NA,NA,Mytilida,Mytiloidea,Mytilidae,Crenellinae,Crenella,Mytilidae,16,
Crenella divaricata,Crenella divaricata,,Eukaryota,Animalia,Mollusca,Bivalvia,Autobranchia,Pteriomorphia,NA,NA,Mytilida,Mytiloidea,Mytilidae,Crenellinae,Crenella,Mytilidae,16,
Geukensia demissa,Geukensia demissa,,Eukaryota,Animalia,Mollusca,Bivalvia,Autobranchia,Pteriomorphia,NA,NA,Mytilida,Mytiloidea,Mytilidae,Brachidontinae,Geukensia,Mytilidae,24,
Ischadium recurvum,Ischadium recurvum,,Eukaryota,Animalia,Mollusca,Bivalvia,Autobranchia,Pteriomorphia,NA,NA,Mytilida,Mytiloidea,Mytilidae,Brachidontinae,Ischadium,Mytilidae,16,
Musculus discors,Musculus discors,,Eukaryota,Animalia,Mollusca,Bivalvia,Autobranchia,Pteriomorphia,NA,NA,Mytilida,Mytiloidea,Mytilidae,Crenellinae,Musculus,Mytilidae,16,
Musculus lateralis,Musculus lateralis,,Eukaryota,Animalia,Mollusca,Bivalvia,Autobranchia,Pteriomorphia,NA,NA,Mytilida,Mytiloidea,Mytilidae,Crenellinae,Musculus,Mytilidae,16,
Musculus subpictus,Musculus subpictus,,Eukaryota,Animalia,Mollusca,Bivalvia,Autobranchia,Pteriomorphia,NA,NA,Mytilida,Mytiloidea,Mytilidae,Crenellinae,Musculus,Mytilidae,16,
Mytilus californianus,Mytilus californianus,,Eukaryota,Animalia,Mollusca,Bivalvia,Autobranchia,Pteriomorphia,NA,NA,Mytilida,Mytiloidea,Mytilidae,Mytilinae,Mytilus,Mytilidae,3,
Mytilus edulis,Mytilus edulis,,Eukaryota,Animalia,Mollusca,Bivalvia,Autobranchia,Pteriomorphia,NA,NA,Mytilida,Mytiloidea,Mytilidae,Mytilinae,Mytilus,Mytilidae,24,
Solamen glandula,Solamen glandula,,Eukaryota,Animalia,Mollusca,Bivalvia,Autobranchia,Pteriomorphia,NA,NA,Mytilida,Mytiloidea,Mytilidae,Crenellinae,Solamen,Mytilidae,16,
Ilyanassa obsoleta,Ilyanassa obsoleta,,Eukaryota,Animalia,Mollusca,Gastropoda,Caenogastropoda,NA,NA,NA,Neogastropoda,Buccinoidea,Nassariidae,Nassariinae,Ilyanassa,Nassariidae,70,
Ilyanassa trivittata,Ilyanassa trivittata,,Eukaryota,Animalia,Mollusca,Gastropoda,Caenogastropoda,NA,NA,NA,Neogastropoda,Buccinoidea,Nassariidae,Nassariinae,Ilyanassa,Nassariidae,70,
Nassarius acutus,Nassarius acutus,,Eukaryota,Animalia,Mollusca,Gastropoda,Caenogastropoda,NA,NA,NA,Neogastropoda,Buccinoidea,Nassariidae,Nassariinae,Nassarius,Nassariidae,4.5,
Phrontis alba,Phrontis alba,,Eukaryota,Animalia,Mollusca,Gastropoda,Caenogastropoda,NA,NA,NA,Neogastropoda,Buccinoidea,Nassariidae,Nassariinae,Phrontis,Nassariidae,3.52,
Phrontis vibex,Phrontis vibex,,Eukaryota,Animalia,Mollusca,Gastropoda,Caenogastropoda,NA,NA,NA,Neogastropoda,Buccinoidea,Nassariidae,Nassariinae,Phrontis,Nassariidae,3.52,
Tritia incrassata,Tritia incrassata,,Eukaryota,Animalia,Mollusca,Gastropoda,Caenogastropoda,NA,NA,NA,Neogastropoda,Buccinoidea,Nassariidae,Nassariinae,Tritia,Nassariidae,15,
Tritia pygmaea,Tritia pygmaea,,Eukaryota,Animalia,Mollusca,Gastropoda,Caenogastropoda,NA,NA,NA,Neogastropoda,Buccinoidea,Nassariidae,Nassariinae,Tritia,Nassariidae,15,
Tritia reticulata,Tritia reticulata,,Eukaryota,Animalia,Mollusca,Gastropoda,Caenogastropoda,NA,NA,NA,Neogastropoda,Buccinoidea,Nassariidae,Nassariinae,Tritia,Nassariidae,15,
Euspira catena,Euspira catena,,Eukaryota,Animalia,Mollusca,Gastropoda,Caenogastropoda,NA,NA,NA,Littorinimorpha,Naticoidea,Naticidae,Polinicinae,Euspira,Naticidae,4.5,
Euspira nitida,Euspira nitida,,Eukaryota,Animalia,Mollusca,Gastropoda,Caenogastropoda,NA,NA,NA,Littorinimorpha,Naticoidea,Naticidae,Polinicinae,Euspira,Naticidae,4.5,
Neverita duplicata,Neverita duplicata,,Eukaryota,Animalia,Mollusca,Gastropoda,Caenogastropoda,NA,NA,NA,Littorinimorpha,Naticoidea,Naticidae,Polinicinae,Neverita,Naticidae,4,
Neverita lewisii,Neverita lewisii,,Eukaryota,Animalia,Mollusca,Gastropoda,Caenogastropoda,NA,NA,NA,Littorinimorpha,Naticoidea,Naticidae,Polinicinae,Neverita,Naticidae,4.5,
Polinices immaculatus,Polinices immaculatus,,Eukaryota,Animalia,Mollusca,Gastropoda,Caenogastropoda,NA,NA,NA,Littorinimorpha,Naticoidea,Naticidae,Polinicinae,Polinices,Naticidae,4.5,
Tectonatica pusilla,Tectonatica pusilla,,Eukaryota,Animalia,Mollusca,Gastropoda,Caenogastropoda,NA,NA,NA,Littorinimorpha,Naticoidea,Naticidae,Naticinae,Tectonatica,Naticidae,4.5,
Nenia tridens,Nenia tridens,,Eukaryota,Animalia,Mollusca,Gastropoda,Heterobranchia,Euthyneura,Tectipleura,Eupulmonata,NA,NA,Clausiliidae,Neniinae,Nenia,Neniinae,4.5,
Vitta usnea,Vitta usnea,,Eukaryota,Animalia,Mollusca,Gastropoda,Neritimorpha,NA,NA,NA,Cycloneritida,Neritoidea,Neritidae,Neritininae,Vitta,Neritidae,4.5,
Nuculana acuta,Nuculana acuta,,Eukaryota,Animalia,Mollusca,Bivalvia,Protobranchia,NA,NA,NA,Nuculanida,Nuculanoidea,Nuculanidae,Nuculaninae,Saccella,Nuculanidae,11,
Nuculana concentrica,Nuculana concentrica,,Eukaryota,Animalia,Mollusca,Bivalvia,Protobranchia,NA,NA,NA,Nuculanida,Nuculanoidea,Nuculanidae,Nuculaninae,Nuculana,Nuculanidae,11,
Nuculana pernula,Nuculana pernula,,Eukaryota,Animalia,Mollusca,Bivalvia,Protobranchia,NA,NA,NA,Nuculanida,Nuculanoidea,Nuculanidae,Nuculaninae,Nuculana,Nuculanidae,11,
Ennucula aegeensis,Ennucula aegeensis,,Eukaryota,Animalia,Mollusca,Bivalvia,Protobranchia,NA,NA,NA,Nuculida,Nuculoidea,Nuculidae,NA,Ennucula,Nuculidae,5.5,
Ennucula delphinodonta,Ennucula delphinodonta,,Eukaryota,Animalia,Mollusca,Bivalvia,Protobranchia,NA,NA,NA,Nuculida,Nuculoidea,Nuculidae,NA,Ennucula,Nuculidae,5.5,
Ennucula tenuis,Ennucula tenuis,,Eukaryota,Animalia,Mollusca,Bivalvia,Protobranchia,NA,NA,NA,Nuculida,Nuculoidea,Nuculidae,NA,Ennucula,Nuculidae,5.5,
Nucula nitidosa,Nucula nitidosa,,Eukaryota,Animalia,Mollusca,Bivalvia,Protobranchia,NA,NA,NA,Nuculida,Nuculoidea,Nuculidae,NA,Nucula,Nuculidae,5.5,
Nucula nucleus,Nucula nucleus,,Eukaryota,Animalia,Mollusca,Bivalvia,Protobranchia,NA,NA,NA,Nuculida,Nuculoidea,Nuculidae,NA,Nucula,Nuculidae,5.5,
Nucula proxima,Nucula proxima,,Eukaryota,Animalia,Mollusca,Bivalvia,Protobranchia,NA,NA,NA,Nuculida,Nuculoidea,Nuculidae,NA,Nucula,Nuculidae,5.5,
Nucula sulcata,Nucula sulcata,,Eukaryota,Animalia,Mollusca,Bivalvia,Protobranchia,NA,NA,NA,Nuculida,Nuculoidea,Nuculidae,NA,Nucula,Nuculidae,5.5,
Octopus tetricus,Octopus tetricus,,Eukaryota,Animalia,Mollusca,Cephalopoda,Coleoidea,NA,NA,Octopodiformes,NA,NA,Octopodidae,NA,Octopus,Octopodidae,,
Oleacina glabra,Oleacina glabra,,Eukaryota,Animalia,Mollusca,Gastropoda,Heterobranchia,Euthyneura,Tectipleura,Eupulmonata,NA,Oleacinoidea,Oleacinidae,Varicellinae,Laevaricella,Oleacinidae,1.33333,
Oleacina playa,Oleacina,,Eukaryota,Animalia,Mollusca,Gastropoda,Heterobranchia,Euthyneura,Tectipleura,Eupulmonata,NA,Oleacinoidea,Oleacinidae,Oleacininae,NA,Oleacinidae,1.33333,
Olivella mica,Olivella mica,,Eukaryota,Animalia,Mollusca,Gastropoda,Caenogastropoda,NA,NA,NA,Neogastropoda,Olivoidea,Olividae,Olivellinae,Olivella,Olividae,3.99,
Omalogyra atomus,Omalogyra atomus,,Eukaryota,Animalia,Mollusca,Gastropoda,Heterobranchia,"""Lower Heterobranchia""",NA,NA,NA,Omalogyroidea,Omalogyridae,Omalogyrinae,Omalogyra,Omalogyridae,1,
Illex illecebrosus,Illex illecebrosus,,Eukaryota,Animalia,Mollusca,Cephalopoda,Coleoidea,NA,NA,Decapodiformes,Oegopsida,Cranchioidea,Ommastrephidae,Illicinae,Illex,Ommastrephidae,,
Idaliadoris depressa,Idaliadoris depressa,,Eukaryota,Animalia,Mollusca,Gastropoda,Heterobranchia,Euthyneura,Ringipleura,Nudipleura,NA,NA,Onchidorididae,NA,Idaliadoris,Onchidorididae,1,
Onchidoris muricata,Onchidoris muricata,,Eukaryota,Animalia,Mollusca,Gastropoda,Heterobranchia,Euthyneura,Ringipleura,Nudipleura,NA,NA,Onchidorididae,NA,Onchidoris,Onchidorididae,1,
Moroteuthopsis ingens,Moroteuthopsis ingens,,Eukaryota,Animalia,Mollusca,Cephalopoda,Coleoidea,NA,NA,Decapodiformes,Oegopsida,NA,Onychoteuthidae,NA,Moroteuthopsis,Onychoteuthidae,,
Onykia robsoni,Onykia robsoni,,Eukaryota,Animalia,Mollusca,Cephalopoda,Coleoidea,NA,NA,Decapodiformes,Oegopsida,NA,Onychoteuthidae,NA,Onykia,Onychoteuthidae,,
Onykia robusta,Onykia robusta,,Eukaryota,Animalia,Mollusca,Cephalopoda,Coleoidea,NA,NA,Decapodiformes,Oegopsida,NA,Onychoteuthidae,NA,Onykia,Onychoteuthidae,,
Crassostrea gigas,Crassostrea gigas,,Eukaryota,Animalia,Mollusca,Bivalvia,Autobranchia,Pteriomorphia,NA,NA,Ostreida,Ostreoidea,Ostreidae,Crassostreinae,Magallana,Ostreidae,7,
Crassostrea virginica,Crassostrea virginica,,Eukaryota,Animalia,Mollusca,Bivalvia,Autobranchia,Pteriomorphia,NA,NA,Ostreida,Ostreoidea,Ostreidae,Crassostreinae,Crassostrea,Ostreidae,5,
Pandora gouldiana,Pandora gouldiana,,Eukaryota,Animalia,Mollusca,Bivalvia,Autobranchia,Heteroconchia,Euheterodonta,Anomalodesmata,NA,Pandoroidea,Pandoridae,NA,Pandora,Pandoridae,11,
Pandora inflata,Pandora inflata,,Eukaryota,Animalia,Mollusca,Bivalvia,Autobranchia,Heteroconchia,Euheterodonta,Anomalodesmata,NA,Pandoroidea,Pandoridae,NA,Pandora,Pandoridae,11,
Pandora trilineata,Pandora trilineata,,Eukaryota,Animalia,Mollusca,Bivalvia,Autobranchia,Heteroconchia,Euheterodonta,Anomalodesmata,NA,Pandoroidea,Pandoridae,NA,Pandora,Pandoridae,11,
Patella depressa,Patella depressa,,Eukaryota,Animalia,Mollusca,Gastropoda,Patellogastropoda,NA,NA,NA,Patellida,Patelloidea,Patellidae,NA,Patella,Patellidae,12.14286,
Patella pellucida,Patella pellucida,,Eukaryota,Animalia,Mollusca,Gastropoda,Patellogastropoda,NA,NA,NA,Patellida,Patelloidea,Patellidae,NA,Patella,Patellidae,12.14286,
Patella ulyssiponensis,Patella ulyssiponensis,,Eukaryota,Animalia,Mollusca,Gastropoda,Patellogastropoda,NA,NA,NA,Patellida,Patelloidea,Patellidae,NA,Patella,Patellidae,12.142865,
Patella vulgata,Patella vulgata,,Eukaryota,Animalia,Mollusca,Gastropoda,Patellogastropoda,NA,NA,NA,Patellida,Patelloidea,Patellidae,NA,Patella,Patellidae,15,
Chlamys islandica,Chlamys islandica,,Eukaryota,Animalia,Mollusca,Bivalvia,Autobranchia,Pteriomorphia,NA,NA,Pectinida,Pectinoidea,Pectinidae,Pedinae,Chlamys,Pectinidae,35,
Crassadoma gigantea,Crassadoma gigantea,,Eukaryota,Animalia,Mollusca,Bivalvia,Autobranchia,Pteriomorphia,NA,NA,Pectinida,Pectinoidea,Pectinidae,Pedinae,Crassadoma,Pectinidae,12.27,
Mimachlamys varia,Mimachlamys varia,,Eukaryota,Animalia,Mollusca,Bivalvia,Autobranchia,Pteriomorphia,NA,NA,Pectinida,Pectinoidea,Pectinidae,Pedinae,Mimachlamys,Pectinidae,6,
