TITLE,CONTACT_1,CONTACT_2,WEB_LINK,DATA_SOURCE
"Santa Barbara Coastal LTER Reef: Kelp Forest Community Dynamics: Cover of sessile organisms, Uniform Point Contact",Dan Reed,NA,http://sbc.lternet.edu//index.html,Santa Barbara Coastal LTER
Response of an urban remnant reptile community to summer wildfire,Dr Rob A. Davis,Dr Tim S. Doherty,http://journals.plos.org/plosone/article?id=10.1371/journal.pone.0127925,Authors contacted BioTIME
Eutrophication and Dreissena Invasion as Drivers of Biodiversity A Century of Change in the Mollusc Community of Oneida Lake,Vadim Karatayev,NA,None,Contributed by Grace Murphy
Zooplankton Data from the Canadian Beaufort Sea Shelf. 1984 and 1985 NOGAP B2. Zooplankton Data from the Canadian Beaufort Sea Shelf. 1986. Central and Arctic Region,C Hopcroft,Cheryl Clarke-Hopcroft,http://www.iobis.org/mapper/?dataset=4428,OBIS
Previous_fisheries_REVIZEE_Program (Tropical and Subtropical Western South Atlantic OBIS),Alexandre Marino,NA,http://www.iobis.org/mapper/?dataset=2411,OBIS
CSIRO Marine Data Warehouse (OBIS Australia),Tony Rees,NA,http://www.iobis.org/mapper/?dataset=57,OBIS
Tam Dao Butterfly communities,Timothy C Bonebrake,Lie Van Vu,None,None
Systematic global assessment of reef fish communities by the Reef Life Survey program,Graham Edgar,Rick Stuart-Smith,http://reeflifesurvey.imas.utas.edu.au/portal/home,Contacted authors directly
Long-term mapped quadrats from Kansas prairie demographic information for herbaceaous plants,Peter B Adler,NA,http://esapubs.org/archive/ecol/E088/161/#abstract,Ecological Archives
Elba Island Butterflies,Leonardo Dapporto,NA,http://link.springer.com/article/10.1007/s10841-008-9189-7/fulltext.html,Journal of Insect Conservation
Insect Populations via Sticky Traps at KBS-LTER (Kellogg Biological Station. MI),Doug Landis,Stuart Gage,http://lter.kbs.msu.edu/datatables/67,Kellogg Biological Station LTER
Patterns and processes affecting the dynamics and structure of seasonally semideciduous forests in SE Brazil(Padroes e processos que influenciam a dinamica e a estrutura das Florestas Estacionais Semideciduais SE Brasil),Tiago Egydio Barreto,"Ricardo Rodrigues, Renato Augusto Ferreira de Lima and Thiago Almeida Bueno",None,Contacted authors directly
The influence of environmental variables on tree species component dynamics in a montane forest fragment in Lages SC Brazil Influencia de variaveis ambientais na dinamica do componente arboreo em um fragmento de Floresta Ombrofila Mista em Lages SC,Pedro Higuchi,Ana Carolina da Silva,None,Contacted authors directly
Cape of Good Hope Permanent Plots,Jasper Slingsby,NA,None,Contacted authors directly
Population estimates of Appalachian salamanders. Coweeta LTER,R Haven Wiley,NA,http://datadryad.org/handle/10255/dryad.25564,Dryad
Edwin S. George Reserve Turtles. The Global Population Dynamics Database Version 2,Barry Brook,NA,http://onlinelibrary.wiley.com/doi/10.1111/j.1461-0248.2006.00883.x/abstract,Ecology Letters
Marine microplankton diversity database,Sofia Sal,Sofia Sal Brequa,http://esapubs.org/archive/ecol/E094/149/,ESA - Ecological Publications (Ecology)
Seasonal summary of numbers of small mammals on 14 LTER traplines in prairie habitats at Konza Prairie,Donald W. Kaufman,NA,http://lter.konza.ksu.edu/content/csm01-seasonal-summary-numbers-small-mammals-14-lter-traplines-prairie-habitats-konza,Konza Prairie Long-Term Ecological Research
Stability in a Multi-Species Assemblage of Large Herbivores in East Africa,Herbert Henri Theodore Prins,NA,http://www.jstor.org/stable/4219351?seq=1#page_scan_tab_contents,JSTOR Oecologia
Successional Dynamics on a Resampled Chronosequence Core Old Field Grasshopper Sampling,Knops Johannes,Tilman David,http://www.cedarcreek.umn.edu/research/data/dataset?ghe014,Cedar Creek Ecosystem Science Reserve
Small mammal abundance: Successional Dynamics on a Resampled Chronosequence,Knops Johannes,Tilman David,http://www.cedarcreek.umn.edu/research/data/dataset?ghe014,Cedar Creek Ecosystem Science Reserve
Jornada Grasshopper Data,John Anderson,David Lightfoor,http://jornada.nmsu.edu/lter/dataset/49712/view,Jornada Basin LTER
Mangrove Forest Growth from the Shark River Slough Everglades National Park (FCE) South Florida from January 1995 to Present,Robert ATwilley,Victor Rivera-Monroy,http://fcelter.fiu.edu/data/core/metadata/?datasetid=LT_PP_Rivera_002,Florida Coastal Everglades LTER
Effects of rangeland management on community dynamics of herpetofauna to the tallgrass prairie,Dustin J. Wilgers,NA,http://www.bioone.org/doi/pdf/10.1655/0018-0831%282006%2962%5B378%3AEORMOC%5D2.0.CO%3B2,Herpetologica
Small Mammal Exclosure Study. Jornada LTER.  SMES rodent trapping data,Robert Schooley,NA,http://jornada.nmsu.edu/lter/dataset/49798/view,Jornada LTER
Forest destructuring as revealed by the temporal dynamics of fundamental species - Case study of Santa Genebra Forest in Brazil,Fabiano Turini Farah,"Ricardo Rodrigues, Renato Augusto Ferreira de Lima and Thiago Almeida Bueno",None,Contacted author directly
The Response of Anolis Lizards to Hurricane-Induced Habitat Changes in a Puerto Rican Rain Forest.,Douglas Reagan,NA,http://luq.lternet.edu/data/luqmetadata4,Luquillo LTER
Temporal evaluation of natural regeneration in a semi-deciduous forest in Pirenopolis. Goias. Brazil,Fabio Venturoli,NA,None,Contacted author directly
Fray Jorge Small Mammals 1989-2005,Douglas A. Kelt,NA,http://esapubs.org/archive/ecol/E094/084/,ESA - Ecological Publications (Ecology)
The Rainbow Bay Long-term Study,David Scott,NA,http://srelherp.uga.edu/projects/rbay.htm,The Rainbow Bay Long Term Study
Twenty years tree demography in an undisturbed Dipterocarp permanent sample plot at Uppangala Western Ghats of India,N. Ayyappan,NA,http://esapubs.org/archive/ecol/E092/115/metadata.htm,ESA - Ecological Publications (Ecology)
The Australian Zooplankton Database (Project ID 1): PhD; zooplankton abundance in Gulf of Carpentaria,Claire Davies,Anthony Richardson,http://esapubs.org/archive/ecol/E095/278/,ESA - Ecological Publications (Ecology)
Stream Fish Assemblage stability in a southern Appalachian stream (Coweeta Hydro Lab 1984 - 1995),Gary D Grossman,NA,https://portal.lternet.edu/nis/mapbrowse?packageid=knb-lter-cwt.3047.13,LTER
Weekly record of bird species observed on Konza Prairie,JMB,J Briggs,http://www.konza.ksu.edu/knz/pages/data/Knzdsdetail.aspx?datasetCode=CBP01,Konza LTER
Stochasticity in structural and functional characteristics of an Indiana stream fish assemblage  a test of community theory,Gary D Grossman,NA,http://www.jstor.org/stable/2461070?seq=1#page_scan_tab_contents,JSTOR
Long term monitoring and experimental manipulation of a Chihuahuan Desert ecosystem near Portal Arizona,Morgan Ernest,Tom Valone,http://esapubs.org/archive/ecol/E090/118/metadata.htm,Ecology
Mountain Birdwatch,John D. Lloyd,Kent P. McFarland,http://vtecostudies.org/projects/mountains/mountain-birdwatch/,Vermont Centre for Ecostudies
Dynamics and Organization of a Rocky Intertidal Fish Assemblage,Gary D Grossman,NA,http://www.jstor.org/stable/2461182.,JSTOR - The American Naturalist
Species trends turnover and composition of a woodland bird community in southern Sweden during a period of 57 years.,Soren Svensson,NA,http://springer,Ornis Svecica
Brazil Dataset 1,Fernando Rodrigues da Silva,NA,None,Contacted author directly
Brazil Dataset 2,Giselda Durigan,NA,None,Contacted author directly
Brazil Dataset 3,Giselda Durigan,NA,None,Contacted author directly
Brazil Dataset 4,Giselda Durigan,NA,None,Contacted author directly
