species.names,col_name,classification,domain,kingdom,phylum,class,subclass,infraclass,subterclass,superorder,order,superfamily,family,subfamily,genus,family_lower
Ervilia nitens,Ervilia nitens,,Eukaryota,Animalia,Mollusca,Bivalvia,Autobranchia,Heteroconchia,Euheterodonta,Imparidentia,Cardiida,Tellinoidea,Semelidae,NA,Ervilia,Semelidae
Eulima bilineata,Eulima bilineata,,Eukaryota,Animalia,Mollusca,Gastropoda,Caenogastropoda,NA,NA,NA,Littorinimorpha,Vanikoroidea,Eulimidae,NA,Eulima,Eulimidae
Eulimastoma engonium,Eulimastoma engonium,,Eukaryota,Animalia,Mollusca,Gastropoda,Heterobranchia,Euthyneura,Tectipleura,Pylopulmonata,NA,Pyramidelloidea,Pyramidellidae,NA,Eulimastoma,Pyramidellidae
Eulimastoma weberi,Eulimastoma weberi,,Eukaryota,Animalia,Mollusca,Gastropoda,Heterobranchia,Euthyneura,Tectipleura,Pylopulmonata,NA,Pyramidelloidea,Pyramidellidae,NA,Eulimastoma,Pyramidellidae
Eupleura caudata,Eupleura caudata,,Eukaryota,Animalia,Mollusca,Gastropoda,Caenogastropoda,NA,NA,NA,Neogastropoda,Muricoidea,Muricidae,Ocenebrinae,Eupleura,Muricidae
Eurytellina alternata,Eurytellina alternata,,Eukaryota,Animalia,Mollusca,Bivalvia,Autobranchia,Heteroconchia,Euheterodonta,Imparidentia,Cardiida,Tellinoidea,Tellinidae,Tellininae,Eurytellina,Tellinidae
Fargoa gibbosa,Fargoa gibbosa,,Eukaryota,Animalia,Mollusca,Gastropoda,Heterobranchia,Euthyneura,Tectipleura,Pylopulmonata,NA,Pyramidelloidea,Pyramidellidae,Odostomiinae,Fargoa,Pyramidellidae
Fulvia laevigata,Fulvia laevigata,,Eukaryota,Animalia,Mollusca,Bivalvia,Autobranchia,Heteroconchia,Euheterodonta,Imparidentia,Cardiida,Cardioidea,Cardiidae,Cardiinae,Fulvia,Cardiidae
Gemma gemma,Gemma gemma,,Eukaryota,Animalia,Mollusca,Bivalvia,Autobranchia,Heteroconchia,Euheterodonta,Imparidentia,Venerida,Veneroidea,Veneridae,Gemminae,Gemma,Veneridae
Geukensia demissa,Geukensia demissa,,Eukaryota,Animalia,Mollusca,Bivalvia,Autobranchia,Pteriomorphia,NA,NA,Mytilida,Mytiloidea,Mytilidae,Brachidontinae,Geukensia,Mytilidae
Gibberula lavalleeana,Gibberula lavalleeana,,Eukaryota,Animalia,Mollusca,Gastropoda,Caenogastropoda,NA,NA,NA,Neogastropoda,Volutoidea,Cystiscidae,Cystiscinae,Gibberula,Cystiscidae
Gouldia cerina,Gouldia cerina,,Eukaryota,Animalia,Mollusca,Bivalvia,Autobranchia,Heteroconchia,Euheterodonta,Imparidentia,Venerida,Veneroidea,Veneridae,Gouldiinae,Gouldia,Veneridae
Granulina ovuliformis,Granulina ovuliformis,,Eukaryota,Animalia,Mollusca,Gastropoda,Caenogastropoda,NA,NA,NA,Neogastropoda,Volutoidea,Granulinidae,NA,Granulina,Granulinidae
Gyraulus circumstriatus,Gyraulus circumstriatus,,Eukaryota,Animalia,Mollusca,Gastropoda,Heterobranchia,Euthyneura,Tectipleura,Hygrophila,NA,NA,Planorbidae,Planorbinae,Gyraulus,Planorbidae
Gyraulus parvus,Gyraulus parvus,,Eukaryota,Animalia,Mollusca,Gastropoda,Heterobranchia,Euthyneura,Tectipleura,Hygrophila,NA,NA,Planorbidae,Planorbinae,Gyraulus,Planorbidae
Gyroscala rupicola,Gyroscala rupicola,,Eukaryota,Animalia,Mollusca,Gastropoda,Caenogastropoda,NA,NA,NA,NA,Epitonioidea,Epitoniidae,NA,Gyroscala,Epitoniidae
Haliotis kamtschatkana,Haliotis kamtschatkana,,Eukaryota,Animalia,Mollusca,Gastropoda,Vetigastropoda,NA,NA,NA,Lepetellida,Haliotoidea,Haliotidae,NA,Haliotis,Haliotidae
Haminella solitaria,Haminella solitaria,,Eukaryota,Animalia,Mollusca,Gastropoda,Heterobranchia,Euthyneura,Tectipleura,NA,NA,Haminoeoidea,Haminoeidae,NA,Haminella,Haminoeidae
Haminoea succinea,Haminoea succinea,,Eukaryota,Animalia,Mollusca,Gastropoda,Heterobranchia,Euthyneura,Tectipleura,NA,NA,Haminoeoidea,Haminoeidae,NA,Haminoea,Haminoeidae
Hiatella arctica,Hiatella arctica,,Eukaryota,Animalia,Mollusca,Bivalvia,Autobranchia,Heteroconchia,Euheterodonta,Imparidentia,Adapedonta,Hiatelloidea,Hiatellidae,NA,Hiatella,Hiatellidae
Hinkleyia caperata,Hinkleyia caperata,,Eukaryota,Animalia,Mollusca,Gastropoda,Heterobranchia,Euthyneura,Tectipleura,Hygrophila,NA,NA,Lymnaeidae,NA,Hinkleyia,Lymnaeidae
Ilyanassa obsoleta,Ilyanassa obsoleta,,Eukaryota,Animalia,Mollusca,Gastropoda,Caenogastropoda,NA,NA,NA,Neogastropoda,Buccinoidea,Nassariidae,Nassariinae,Ilyanassa,Nassariidae
Ilyanassa trivittata,Ilyanassa trivittata,,Eukaryota,Animalia,Mollusca,Gastropoda,Caenogastropoda,NA,NA,NA,Neogastropoda,Buccinoidea,Nassariidae,Nassariinae,Ilyanassa,Nassariidae
Ischadium recurvum,Ischadium recurvum,,Eukaryota,Animalia,Mollusca,Bivalvia,Autobranchia,Pteriomorphia,NA,NA,Mytilida,Mytiloidea,Mytilidae,Brachidontinae,Ischadium,Mytilidae
