ID,Year,Date,Season,River,Creek,Bout,Distance,DOMGL,Salinity,TempC,Catch,CPUE,test.total
11EARLYDRYTB22,11,2015-03-07,EARLYDRY,TB,2,2,107,5.48,7,26.5,17,16,6
11EARLYDRYTB23,11,2015-03-07,EARLYDRY,TB,2,3,89,7.55,7.1,27,32,36,6
11EARLYDRYTB31,11,2015-03-07,EARLYDRY,TB,3,1,110,7.56,5.7,27.1,16,15,11
11EARLYDRYTB32,11,2015-03-07,EARLYDRY,TB,3,2,100,5.67,5.7,26.8,12,12,8
11EARLYDRYTB33,11,2015-03-07,EARLYDRY,TB,3,3,135,4.83,5.6,26.8,6,4,3
11EARLYDRYTB42,11,2015-03-07,EARLYDRY,TB,4,2,136,5.12,4.9,27,8,6,6
11EARLYDRYTB43,11,2015-03-07,EARLYDRY,TB,4,3,124,4.85,4.5,26.8,8,6,11
11LATEDRYRB101,11,2015-04-12,LATEDRY,RB,10,1,77,2.7,1,25.2,41,53,48
11LATEDRYRB102,11,2015-04-12,LATEDRY,RB,10,2,88,2.93,1,25.4,45,51,36
11LATEDRYRB103,11,2015-04-12,LATEDRY,RB,10,3,81,3.52,1,26,39,48,33
11LATEDRYRB111,11,2015-04-12,LATEDRY,RB,11,1,64,5.26,1.1,27.5,66,103,122
11LATEDRYRB112,11,2015-04-12,LATEDRY,RB,11,2,60,5.92,1,27.7,30,50,32
11LATEDRYRB113,11,2015-04-12,LATEDRY,RB,11,3,50,3.32,0.8,26.3,89,178,139
